"Method_Name","Total_Number_Of_Lines","Cyclomatic_Complexity"
"ModifyingCollectionWithItself.describe",65,19
"ModifyingCollectionWithItself.matchMethodInvocation",15,2
"NewInstanceAnonymousInnerClass.Constructor",3,0
"NewInstanceAnonymousInnerClass.matches",10,3
"NonAtomicVolatileUpdate.assignmentIncrementDecrementMatcher",15,0
"NonAtomicVolatileUpdate.expressionFromAssignmentTree",9,0
"NonAtomicVolatileUpdate.expressionFromUnaryTree",9,0
"NonAtomicVolatileUpdate.matchAssignment",6,0
"NonAtomicVolatileUpdate.matchCompoundAssignment",6,0
"NonAtomicVolatileUpdate.matchUnary",6,0
"NonAtomicVolatileUpdate.variableFromAssignmentTree",9,0
"NonAtomicVolatileUpdate.variableFromCompoundAssignmentTree",9,0
"NonDelegatingClassLoader.Constructor",5,0
"NonDelegatingClassLoader.create",5,1
"NonDelegatingClassLoader.create",5,1
"NonDelegatingClassLoader.loadClass",16,4
"NonRuntimeAnnotation.matchMethodInvocation",14,4
"Nullness.Constructor",3,0
"Nullness.deducedValueWhenNotEqual",14,6
"Nullness.greatestLowerBound",12,4
"Nullness.leastUpperBound",12,4
"Nullness.toString",3,1
"NullnessAnalysis.Constructor",3,0
"NullnessAnalysis.getNullness",3,0
"NullnessMatcher.Constructor",4,0
"NullnessMatcher.matches",4,1
"NumericEquality.isFinal",3,1
"NumericEquality.matchBinary",26,9
"OperatorPrecedence.Constructor",3,0
"OperatorPrecedence.from",51,36
"OperatorPrecedence.isHigher",3,1
"Overrides.matchMethod",39,9
"ParentNode.Constructor",3,0
"ParentNode.matches",8,2
"PreconditionsCheckNotNull.matchMethodInvocation",14,3
"PreconditionsExpensiveString.matchMethodInvocation",11,0
"PreconditionsInvalidPlaceholder.describe",19,3
"PreconditionsInvalidPlaceholder.expectedArguments",7,2
"PreconditionsInvalidPlaceholder.matchMethodInvocation",15,7
"PrimitiveArrayPassedToVarargsMethod.matches",26,0
"PrimitiveArrayPassedToVarargsMethod.matchMethodInvocation",3,0
"ProtoFieldNullComparison.createReplacement",20,0
"ProtoFieldNullComparison.getMethodName",6,0
"ProtoFieldNullComparison.isFieldGetMethod",3,0
"ProtoFieldNullComparison.isGetListMethodInvocation",19,0
"ProtoFieldNullComparison.isGetMethodInvocation",19,0
"ProtoFieldNullComparison.isNull",3,0
"ProtoFieldNullComparison.isProtoMessageGetInvocation",4,0
"ProtoFieldNullComparison.matchBinary",5,0
"ProtoFieldNullComparison.matches",9,0
"ProtoFieldNullComparison.receiverIsProtoMessage",3,0
"ProtoFieldNullComparison.replaceLast",5,0
"ProtoFieldPreconditionsCheckNotNull.isFieldGetMethod",3,0
"ProtoFieldPreconditionsCheckNotNull.isGetListMethodInvocation",19,0
"ProtoFieldPreconditionsCheckNotNull.isGetMethodInvocation",19,0
"ProtoFieldPreconditionsCheckNotNull.isProtoMessageGetInvocation",4,0
"ProtoFieldPreconditionsCheckNotNull.matches",3,0
"ProtoFieldPreconditionsCheckNotNull.matchMethodInvocation",14,0
"ProtoFieldPreconditionsCheckNotNull.receiverIsProtoMessage",3,0
"ProtoStringFieldReferenceEquality.matchBinary",19,8
"Replacement.create",3,1
"Replacement.endPosition",1,1
"Replacement.replaceWith",1,1
"Replacement.startPosition",1,1
"RequiredModifiersChecker.matchAnnotation",23,0
"ScannerSupplierImpl.apply",3,0
"ScannerSupplierImpl.Constructor",8,0
"ScannerSupplierImpl.get",3,0
"ScannerSupplierImpl.getAllChecks",3,0
"ScannerSupplierImpl.getEnabledChecks",3,0
"ScannerSupplierImpl.severities",3,0
"SelfAssignment.describeForAssignment",69,20
"SelfAssignment.describeForVarDecl",10,2
"SelfAssignment.matchAssignment",7,2
"SelfAssignment.matchVariable",16,9
"SelfAssignment.stripCheckNotNull",8,4
"SelfEquality.matchBinary",67,19
"SelfEquals.Constructor",4,0
"SelfEquals.describe",46,0
"SelfEquals.matchMethodInvocation",11,0
"SizeGreaterThanOrEqualsZero.anyOfIterable",14,0
"SizeGreaterThanOrEqualsZero.arrayLengthMatcher",7,0
"SizeGreaterThanOrEqualsZero.buildInstanceMethodMatcher",7,0
"SizeGreaterThanOrEqualsZero.buildStaticMethodMatcher",7,0
"SizeGreaterThanOrEqualsZero.classHasIsEmptyFunction",11,0
"SizeGreaterThanOrEqualsZero.isGreaterThanEqualToZero",23,0
"SizeGreaterThanOrEqualsZero.isSubtypeOfAny",9,0
"SizeGreaterThanOrEqualsZero.matchBinary",21,0
"SizeGreaterThanOrEqualsZero.provideReplacementForMethodInvocation",11,0
"SizeGreaterThanOrEqualsZero.provideReplacementForStaticMethodInvocation",20,0
"SizeGreaterThanOrEqualsZero.removeEqualsFromComparison",7,0
"SizeGreaterThanOrEqualsZero.staticMethodMatcher",10,0
"StaticAccessedFromInstance.matchMemberSelect",38,9
"StaticMethod.Constructor",4,0
"StaticMethod.matches",12,4
"StringBuilderInitWithChar.matchNewClass",18,5
"StringLiteral.Constructor",3,0
"StringLiteral.matches",9,3
"Suppliers.genericTypeOf",12,0
"Suppliers.genericTypeOfType",12,0
"Suppliers.get",3,0
"Suppliers.identitySupplier",8,0
"Suppliers.receiverInstance",9,0
"Suppliers.receiverType",9,0
"Suppliers.typeFromString",8,0
"SuppressWarningsDeprecated.matchAnnotation",6,2
"SuppressWarningsDeprecated.processSuppressWarningsValues",7,3
"SynchronizeOnNonFinalField.matchSynchronized",13,4
"TryFailThrowable.matches",16,0
"TryFailThrowable.matchTry",10,0
"TryFailThrowable.tryTreeMatches",37,0
"UnlockMethodChecker.buildMessage",4,1
"UnlockMethodChecker.getActual",3,1
"UnlockMethodChecker.getLockExpressions",6,2
"UnlockMethodChecker.getUnwanted",3,1
"VisitorState.Constructor",4,0
"VisitorState.findEnclosing",4,0
"VisitorState.findPathToEnclosing",12,0
"VisitorState.getEndPosition",7,0
"VisitorState.getName",3,0
"VisitorState.getPath",3,0
"VisitorState.getPrimitiveType",21,0
"VisitorState.getSourceCode",7,0
"VisitorState.getSourceForNode",8,0
"VisitorState.getSymbolFromString",12,0
"VisitorState.getSymtab",3,0
"VisitorState.getTreeMaker",3,0
"VisitorState.getType",13,0
"VisitorState.getTypeFromString",26,0
"VisitorState.getTypes",3,0
"VisitorState.isPrimitiveType",5,0
"VisitorState.onDescribed",1,0
"VisitorState.reportMatch",7,0
"VisitorState.validateTypeStr",10,0
"VisitorState.withPath",3,0
"WaitNotInLoop.matches",16,0
"WaitNotInLoop.matchMethodInvocation",39,0
"WrongParameterPackage.describe",21,7
"WrongParameterPackage.matchMethod",26,8
"AbstractSuppressWarningsMatcher.getSuggestedFix",0,8
"AbstractSuppressWarningsMatcher.processSuppressWarningsValues",0,1
"AbstractTypeMatcher.AbstractTypeMatcher",0,1
"AbstractTypeMatcher.AbstractTypeMatcher",0,1
"AbstractTypeMatcher.AbstractTypeMatcher",0,1
"AbstractTypeMatcher.AbstractTypeMatcher",0,1
"AbstractTypeMatcher.matches",0,1
"AdjustedPosition.AdjustedPosition",0,1
"Annotation.Annotation",0,1
"Annotation.getChildNodes",0,5
"AnnotationHasArgumentWithValue.AnnotationHasArgumentWithValue",0,1
"AnnotationType.AnnotationType",0,1
"ArrayEqualsTest.setUp",0,1
"ArrayEqualsTest.testJava7NegativeCase",0,1
"ArrayEqualsTest.testJava7PositiveCase",0,1
"ArrayEqualsTest.testNegativeCase",0,1
"ArrayEqualsTest.testPositiveCase",0,1
"ArrayHashCodeTest.setUp",0,1
"ArrayHashCodeTest.testJava7NegativeCase",0,1
"ArrayHashCodeTest.testJava7PositiveCase",0,1
"ArrayHashCodeTest.testNegativeCase",0,1
"ArrayHashCodeTest.testPositiveCase",0,1
"ArraysAsListPrimitiveArray.matchMethodInvocation",0,3
"ArrayToStringCompoundAssignmentTest.setUp",0,1
"ArrayToStringCompoundAssignmentTest.testNegativeCase",0,1
"ArrayToStringCompoundAssignmentTest.testPositiveCase",0,1
"ArrayToStringConcatenationTest.setUp",0,1
"ArrayToStringConcatenationTest.testNegativeCase",0,1
"ArrayToStringConcatenationTest.testPositiveCase",0,1
"ArrayToStringTest.setUp",0,1
"ArrayToStringTest.testNegativeCase",0,1
"ArrayToStringTest.testPositiveCase",0,1
"ASTHelpers.constValue",0,2
"ASTHelpers.enclosingClass",0,1
"ASTHelpers.enclosingPackage",0,1
"ASTHelpers.enclosingSymbol",0,3
"ASTHelpers.enumValues",0,5
"ASTHelpers.findEnclosingNode",0,2
"ASTHelpers.findPathFromEnclosingNodeToTopLevel",0,3
"ASTHelpers.findSuperMethod",0,4
"ASTHelpers.findSuperMethods",0,9
"ASTHelpers.getActualStartPosition",0,5
"ASTHelpers.getAnnotation",0,2
"ASTHelpers.getAnnotation",0,2
"ASTHelpers.getAnnotationName",0,2
"ASTHelpers.getNullnessValue",0,1
"ASTHelpers.getReceiver",0,3
"ASTHelpers.getReceiverType",0,3
"ASTHelpers.getReturnType",0,3
"ASTHelpers.getRootAssignable",0,6
"ASTHelpers.getSymbol",0,1
"ASTHelpers.getSymbol",0,9
"ASTHelpers.getSymbol",0,1
"ASTHelpers.getSymbol",0,1
